Project,Date,Outflow (kcfs),Spill (kcfs),Spill Percent (%),Inflow (kcfs),Temp (Scroll Case) (C),Temperature (C),Barometric Pressure (mmHg),Dissolved Gas (mmHg),Dissolved Gas Percent (%),Turbidity (ft),Tailwater Elevation (ft)
IDSW,1995-01-01,20.95,0.0,0.0,19.8,,,,,,,339.81
IDSW,1995-01-02,17.46,0.0,0.0,14.0,,,,,,,339.64
IDSW,1995-01-03,19.95,0.0,0.0,18.4,,,,,,,339.84
IDSW,1995-01-04,18.78,0.0,0.0,21.6,,,,,,,339.86
IDSW,1995-01-05,17.4,0.0,0.0,19.8,,,,,,,339.74
IDSW,1995-01-06,15.37,0.0,0.0,16.0,,,,,,,339.7
IDSW,1995-01-07,19.0,0.0,0.0,15.8,,,,,,,339.97
IDSW,1995-01-08,21.39,0.0,0.0,22.2,,,,,,,340.05
IDSW,1995-01-09,25.2,0.0,0.0,23.5,,,,,,,340.26
IDSW,1995-01-10,16.93,0.0,0.0,21.4,,,,,,,339.62
IDSW,1995-01-11,25.51,7.61,29.84,28.7,,,,,,,339.83
IDSW,1995-01-12,42.93,11.71,27.28,43.6,,,,,,,341.52
IDSW,1995-01-13,38.28,6.49,16.95,35.1,,,,,,,341.37
IDSW,1995-01-14,49.2,16.5,33.53,51.0,,,,,,,341.96
IDSW,1995-01-15,59.93,27.07,45.16,61.1,,,,,,,342.9
IDSW,1995-01-16,57.73,24.73,42.84,58.1,,,,,,,342.59
IDSW,1995-01-17,54.53,17.07,31.31,51.4,,,,,,,342.51
IDSW,1995-01-18,43.16,0.47,1.09,43.4,,,,,,,341.65
IDSW,1995-01-19,31.76,0.0,0.0,33.1,,,,,,,340.28
IDSW,1995-01-20,31.86,0.46,1.44,33.2,,,,,,,340.42
IDSW,1995-01-21,31.4,0.0,0.0,31.7,,,,,,,340.37
IDSW,1995-01-22,32.77,1.4,4.26,31.5,,,,,,,340.43
IDSW,1995-01-23,31.22,0.0,0.0,31.2,,,,,,,340.14
IDSW,1995-01-24,31.33,0.0,0.0,31.0,,,,,,,340.43
IDSW,1995-01-25,30.58,0.0,0.0,29.2,,,,,,,340.48
IDSW,1995-01-26,31.62,0.0,0.0,28.4,,,,,,,340.44
IDSW,1995-01-27,31.92,0.0,0.0,36.6,,,,,,,340.5
IDSW,1995-01-28,31.92,0.0,0.0,26.4,,,,,,,340.51
IDSW,1995-01-29,32.13,0.0,0.0,31.4,,,,,,,340.7
IDSW,1995-01-30,24.64,0.0,0.0,24.2,,,,,,,339.91
IDSW,1995-01-31,26.45,0.0,0.0,25.5,,,,,,,340.45
IDSW,1995-02-01,32.57,0.0,0.0,41.2,,,,,,,340.92
IDSW,1995-02-02,72.79,37.83,51.96,72.6,,,,,,,344.13
IDSW,1995-02-03,80.25,46.95,58.5,80.8,,,,,,,344.73
IDSW,1995-02-04,68.97,36.1,52.35,66.2,,,,,,,343.6
IDSW,1995-02-05,56.03,23.54,42.01,55.2,,,,,,,342.37
IDSW,1995-02-06,51.38,18.58,36.16,52.8,,,,,,,342.28
IDSW,1995-02-07,49.21,16.26,33.04,46.9,,,,,,,342.26
IDSW,1995-02-08,44.17,11.97,27.09,45.0,,,,,,,341.44
IDSW,1995-02-09,47.73,15.14,31.73,47.0,,,,,,,341.79
IDSW,1995-02-10,43.16,11.15,25.84,42.7,,,,,,,341.54
IDSW,1995-02-11,42.5,0.48,1.12,43.4,,,,,,,341.64
IDSW,1995-02-12,49.5,0.0,0.0,47.1,,,,,,,342.12
IDSW,1995-02-13,46.55,0.0,0.0,44.0,,,,,,,341.95
IDSW,1995-02-14,46.65,0.0,0.0,51.4,,,,,,,341.91
IDSW,1995-02-15,50.5,0.0,0.0,46.1,,,,,,,342.32
IDSW,1995-02-16,50.56,0.0,0.0,47.5,,,,,,,342.44
IDSW,1995-02-17,50.06,0.0,0.0,48.4,,,,,,,342.56
IDSW,1995-02-18,40.58,0.0,0.0,40.9,,,,,,,341.66
IDSW,1995-02-19,48.01,0.0,0.0,50.5,,,,,,,342.17
IDSW,1995-02-20,51.44,0.0,0.0,49.6,,,,,,,342.33
IDSW,1995-02-21,57.06,5.21,9.14,57.0,,,,,,,342.74
IDSW,1995-02-22,53.25,2.31,4.33,60.5,,,,,,,342.78
IDSW,1995-02-23,57.06,7.69,13.47,58.8,,,,,,,343.0
IDSW,1995-02-24,54.33,3.4,6.26,52.0,,,,,,,342.7
IDSW,1995-02-25,51.02,0.0,0.0,52.0,,,,,,,342.56
IDSW,1995-02-26,51.24,0.0,0.0,49.7,,,,,,,342.6
IDSW,1995-02-27,51.09,0.0,0.0,52.2,,,,,,,342.23
IDSW,1995-02-28,53.79,9.37,17.42,55.2,,,,,,,342.21
IDSW,1995-03-01,51.16,0.7,1.38,52.0,,,,,,,342.18
IDSW,1995-03-02,48.38,1.71,3.53,48.5,,,,,,,341.94
IDSW,1995-03-03,49.88,0.0,0.0,50.7,,,,,,,342.04
IDSW,1995-03-04,50.34,0.0,0.0,49.2,,,,,,,342.04
IDSW,1995-03-05,50.77,0.0,0.0,43.6,,,,,,,342.09
IDSW,1995-03-06,51.17,0.0,0.0,54.0,,,,,,,342.2
IDSW,1995-03-07,51.03,0.0,0.0,47.0,,,,,,,342.21
IDSW,1995-03-08,43.48,0.0,0.0,45.8,,,,,,,341.49
IDSW,1995-03-09,50.94,0.0,0.0,50.9,,,,,,,342.16
IDSW,1995-03-10,50.71,0.0,0.0,51.5,,,,,,,342.08
IDSW,1995-03-11,50.46,0.0,0.0,46.2,,,,,,,342.23
IDSW,1995-03-12,45.39,0.0,0.0,49.1,,,,,,,341.79
IDSW,1995-03-13,50.55,0.0,0.0,53.0,,,,,,,342.13
IDSW,1995-03-14,50.07,0.0,0.0,52.3,,,,,,,342.13
IDSW,1995-03-15,47.88,0.0,0.0,46.0,,,,,,,341.79
IDSW,1995-03-16,51.76,2.58,4.99,56.8,,,,,,,342.47
IDSW,1995-03-17,60.04,8.3,13.83,60.1,,,,,,,343.16
IDSW,1995-03-18,62.11,0.0,0.0,59.0,,,,,,,343.39
IDSW,1995-03-19,62.85,0.0,0.0,60.4,,,,,,,343.47
IDSW,1995-03-20,53.3,2.57,4.82,57.1,,,,,,,342.31
IDSW,1995-03-21,65.64,20.29,30.91,66.2,,,,,,,343.23
IDSW,1995-03-22,65.46,20.55,31.4,64.1,,,,,,,343.61
IDSW,1995-03-23,62.18,19.64,31.59,60.8,,,,,99.97,,343.44
IDSW,1995-03-24,65.32,20.1,30.78,65.3,,,,,,,343.79
IDSW,1995-03-25,59.93,14.79,24.67,57.8,,,,973.14,101.37,,343.29
IDSW,1995-03-26,61.48,16.38,26.65,59.2,,,,982.38,,,343.27
IDSW,1995-03-27,34.58,2.6,7.53,39.9,,8.13,770.67,824.38,99.19,,341.38
IDSW,1995-03-28,44.24,0.0,0.0,43.4,,8.01,765.2,776.46,,,341.93
IDSW,1995-03-29,37.98,0.0,0.0,39.3,,8.11,761.57,773.25,,,341.63
IDSW,1995-03-30,40.98,1.75,4.27,41.9,,8.92,759.13,778.0,96.9,,341.18
IDSW,1995-03-31,55.43,8.29,14.96,52.3,,9.29,755.75,812.38,107.49,,342.52
IDSW,1995-04-01,56.58,8.62,15.24,57.0,,9.39,758.96,824.58,108.63,,342.6
IDSW,1995-04-02,56.31,10.84,19.26,53.1,,9.61,762.3,823.78,108.07,,342.41
IDSW,1995-04-03,46.44,2.21,4.76,40.4,,9.76,759.25,785.67,103.48,,341.44
IDSW,1995-04-04,42.55,0.0,0.0,44.3,,9.91,754.83,775.04,102.68,,341.25
IDSW,1995-04-05,37.54,0.0,0.0,43.5,,10.02,752.21,775.92,103.15,,341.26
IDSW,1995-04-06,41.32,2.18,5.26,41.9,,10.16,750.33,781.96,104.21,,341.87
IDSW,1995-04-07,49.74,6.8,13.68,48.9,,10.26,746.25,793.17,106.29,,342.33
IDSW,1995-04-08,56.13,9.93,17.7,55.5,,9.91,748.13,804.92,107.59,,342.65
IDSW,1995-04-09,55.41,9.96,17.97,58.3,,10.28,755.04,810.71,107.37,,342.27
IDSW,1995-04-10,65.26,15.57,23.86,64.9,,10.28,755.92,841.38,111.3,,342.97
IDSW,1995-04-11,79.61,16.48,20.7,78.5,,10.37,754.33,841.42,111.55,,344.86
IDSW,1995-04-12,62.35,11.28,18.08,64.2,,10.34,747.63,812.04,108.62,,343.13
IDSW,1995-04-13,70.55,12.31,17.45,68.1,,10.4,748.13,810.04,108.28,,343.92
IDSW,1995-04-14,76.61,17.33,22.61,79.0,,10.48,754.13,844.92,112.03,,344.59
IDSW,1995-04-15,81.79,18.53,22.65,80.6,,10.68,752.38,857.0,113.91,,344.92
IDSW,1995-04-16,81.38,18.52,22.75,80.3,,10.84,752.04,857.67,114.05,,344.96
IDSW,1995-04-17,77.3,18.51,23.95,78.9,,11.12,748.54,856.38,114.41,,344.51
IDSW,1995-04-18,67.58,18.44,27.29,66.2,,11.47,751.52,860.39,114.49,,343.63
IDSW,1995-04-19,63.76,19.57,30.69,63.8,,11.46,747.83,856.79,114.57,,343.3
IDSW,1995-04-20,76.84,26.31,34.24,78.4,,11.24,747.85,905.72,121.3,,344.46
IDSW,1995-04-21,76.82,26.41,34.38,75.1,,10.48,767.67,893.0,116.07,,344.43
IDSW,1995-04-22,63.55,17.78,27.98,64.7,,10.3,770.42,852.5,110.52,,343.42
IDSW,1995-04-23,54.46,14.9,27.35,54.2,,10.69,769.3,839.39,109.09,,342.57
IDSW,1995-04-24,56.57,14.92,26.38,56.7,,10.4,759.94,844.92,111.06,,342.44
IDSW,1995-04-25,65.0,17.89,27.52,63.9,,10.62,761.92,851.0,111.51,,343.23
IDSW,1995-04-26,65.3,17.81,27.27,66.1,,10.85,759.09,851.33,112.27,,343.34
IDSW,1995-04-27,74.93,20.25,27.03,75.7,,10.8,745.25,857.6,115.14,,344.36
IDSW,1995-04-28,75.62,20.16,26.66,76.0,,11.1,755.41,877.73,116.19,,344.49
IDSW,1995-04-29,83.0,22.91,27.61,83.0,,11.2,754.54,890.63,118.04,,344.96
IDSW,1995-04-30,85.42,23.97,28.06,85.5,,11.26,761.25,899.96,118.22,,345.18
IDSW,1995-05-01,81.63,23.86,29.23,82.7,,11.2,752.83,883.13,117.3,,344.9
IDSW,1995-05-02,88.42,29.3,33.13,77.3,,10.04,751.88,877.7,117.94,,345.69
IDSW,1995-05-03,86.93,25.25,29.05,97.4,,10.12,761.5,,,,345.24
IDSW,1995-05-04,99.51,38.79,38.98,99.5,,10.52,758.21,,,,346.28
IDSW,1995-05-05,100.49,34.87,34.7,100.6,,10.66,755.29,,,,346.59
IDSW,1995-05-06,96.78,29.2,30.17,96.7,,10.54,753.5,,,,346.3
IDSW,1995-05-07,113.34,45.3,39.97,113.8,,10.48,756.58,835.13,110.21,,347.48
IDSW,1995-05-08,126.76,58.01,45.76,125.0,,10.44,760.13,891.27,116.87,,348.36
IDSW,1995-05-09,115.86,51.15,44.15,117.1,,10.39,764.04,894.13,117.04,,347.36
IDSW,1995-05-10,109.99,42.71,38.83,109.1,,10.5,764.71,897.88,117.41,,347.1
IDSW,1995-05-11,112.28,44.08,39.26,112.5,,10.69,760.04,900.21,118.44,,347.35
IDSW,1995-05-12,97.92,30.83,31.48,98.8,,10.68,759.58,881.46,116.05,,346.17
IDSW,1995-05-13,109.94,42.36,38.53,110.1,,10.65,761.17,898.92,118.1,,347.16
IDSW,1995-05-14,103.5,35.15,33.96,103.9,,10.65,763.08,901.96,118.2,,346.78
IDSW,1995-05-15,93.1,28.69,30.82,92.9,,10.81,759.83,899.75,118.41,,345.85
IDSW,1995-05-16,103.9,39.54,38.06,103.7,,11.29,761.08,,,,346.68
IDSW,1995-05-17,99.85,33.7,33.75,99.2,,11.88,764.58,,,,346.42
IDSW,1995-05-18,107.29,40.0,37.28,108.9,,12.18,768.63,,,,347.1
IDSW,1995-05-19,108.53,42.12,38.81,108.9,,12.57,766.08,,,,347.21
IDSW,1995-05-20,118.12,50.18,42.48,116.8,,12.59,761.04,,,,347.75
IDSW,1995-05-21,111.81,43.47,38.87,111.7,,12.59,763.54,,,,347.38
IDSW,1995-05-22,116.89,50.05,42.82,116.7,,12.69,763.46,860.0,112.57,,347.62
IDSW,1995-05-23,118.03,50.05,42.4,119.8,,13.0,762.67,1006.2,131.91,,347.66
IDSW,1995-05-24,114.88,46.33,40.33,113.0,,13.5,762.92,995.96,130.55,,347.38
IDSW,1995-05-25,113.33,45.25,39.93,114.1,,13.76,762.25,994.25,130.44,,347.3
IDSW,1995-05-26,110.85,44.0,39.69,110.9,,14.07,765.17,1001.17,130.84,,347.1
IDSW,1995-05-27,109.7,42.39,38.64,108.3,,13.98,765.78,976.43,127.51,,347.09
IDSW,1995-05-28,107.32,38.88,36.23,107.9,,14.02,765.58,965.88,126.16,,346.97
IDSW,1995-05-29,98.51,33.7,34.21,97.1,,14.29,763.38,955.17,125.12,,346.19
IDSW,1995-05-30,111.18,45.97,41.35,114.7,,14.38,762.92,972.0,127.4,,347.01
IDSW,1995-05-31,116.75,49.94,42.77,115.8,,14.44,763.54,993.71,130.14,,347.51
IDSW,1995-06-01,129.63,61.71,47.61,129.7,,14.43,760.92,997.38,131.08,,348.14
IDSW,1995-06-02,131.5,61.92,47.08,130.6,,14.12,759.29,1001.0,131.83,,348.28
IDSW,1995-06-03,130.35,61.15,46.92,131.9,,14.28,761.79,1003.33,131.71,,348.18
IDSW,1995-06-04,137.24,67.77,49.38,135.5,,14.74,760.21,1003.63,132.02,,348.49
IDSW,1995-06-05,140.38,71.52,50.95,142.9,,15.03,760.79,1003.46,131.9,,348.55
IDSW,1995-06-06,146.2,77.38,52.93,143.9,,14.87,760.5,1004.71,132.11,,348.88
IDSW,1995-06-07,134.11,64.56,48.14,135.7,,14.23,763.88,1038.5,135.95,,348.88
IDSW,1995-06-08,133.14,63.65,47.8,131.1,,14.11,761.92,1040.0,136.52,,348.73
IDSW,1995-06-09,122.81,55.04,44.82,122.8,,13.95,764.88,875.56,114.39,,347.88
IDSW,1995-06-10,115.93,46.97,40.51,116.3,,13.94,762.58,882.8,115.73,,347.53
IDSW,1995-06-11,101.05,33.0,32.65,101.1,,13.81,765.25,,,,346.36
IDSW,1995-06-12,109.26,40.4,36.97,110.0,,13.68,762.96,876.7,114.98,,347.01
IDSW,1995-06-13,117.89,48.9,41.48,118.1,,13.14,763.38,893.41,116.99,,347.48
IDSW,1995-06-14,112.17,45.16,40.26,112.3,,12.74,757.92,898.03,118.48,,347.21
IDSW,1995-06-15,118.34,50.23,42.45,118.9,,12.91,756.71,892.46,117.92,,347.57
IDSW,1995-06-16,121.75,53.39,43.86,120.2,,13.41,757.42,897.24,118.49,,347.93
IDSW,1995-06-17,114.85,45.2,39.35,114.1,,14.21,758.38,909.87,119.93,,347.66
IDSW,1995-06-18,114.19,45.2,39.58,116.3,,14.89,761.0,912.13,119.78,,347.48
IDSW,1995-06-19,119.23,49.39,41.43,117.3,,15.42,762.04,921.23,120.81,,347.87
IDSW,1995-06-20,116.8,47.23,40.44,117.3,,15.37,764.5,912.6,119.26,,347.75
IDSW,1995-06-21,110.62,41.04,37.1,112.3,,15.25,764.33,905.86,118.54,,347.26
IDSW,1995-06-22,102.16,33.94,33.22,100.8,,15.16,764.8,892.54,116.76,,346.53
IDSW,1995-06-23,88.26,25.88,29.33,89.3,,,,,,,345.24
IDSW,1995-06-24,92.89,26.93,28.99,92.4,,,,,,,345.64
IDSW,1995-06-25,93.37,25.33,27.12,92.5,,,,,,,345.66
IDSW,1995-06-26,92.13,25.93,28.14,91.3,,,,,,,345.61
IDSW,1995-06-27,91.85,25.91,28.21,91.8,,14.38,765.57,888.83,116.22,,345.76
IDSW,1995-06-28,97.99,30.82,31.45,99.3,,13.8,764.5,907.29,118.68,,346.27
IDSW,1995-06-29,103.46,34.84,33.67,101.9,,,761.38,923.04,121.23,,346.69
IDSW,1995-06-30,94.58,27.23,28.8,96.1,,15.31,759.0,895.0,117.83,,345.88
IDSW,1995-07-01,92.04,26.02,28.27,90.7,,16.54,755.42,991.89,131.08,,345.74
IDSW,1995-07-02,83.15,25.77,30.99,83.3,,16.87,753.13,979.07,130.1,,344.92
IDSW,1995-07-03,74.87,25.76,34.4,74.6,,17.42,755.79,971.68,128.55,,344.11
IDSW,1995-07-04,91.23,27.45,30.09,91.0,,17.88,758.13,993.33,131.04,,345.66
IDSW,1995-07-05,93.76,26.8,28.58,93.5,,18.45,758.67,985.52,129.7,,345.66
IDSW,1995-07-06,78.07,26.36,33.76,77.2,,18.41,756.71,978.32,129.43,,344.41
IDSW,1995-07-07,71.73,26.37,36.77,72.2,,18.38,759.58,883.38,116.25,,343.77
IDSW,1995-07-08,78.69,26.26,33.37,78.7,,16.94,759.5,892.25,117.48,,344.31
IDSW,1995-07-09,71.09,26.38,37.1,71.4,,18.75,756.92,886.13,117.07,,343.73
IDSW,1995-07-10,80.92,26.22,32.4,79.2,,18.92,759.58,885.54,116.58,,344.38
IDSW,1995-07-11,78.46,25.45,32.44,75.7,,19.07,758.5,900.21,118.68,,344.34
IDSW,1995-07-12,79.18,25.43,32.12,76.7,,19.05,757.42,903.63,119.3,,344.69
IDSW,1995-07-13,77.0,25.18,32.71,74.5,,18.88,760.79,905.04,118.96,,344.55
IDSW,1995-07-14,68.23,25.05,36.72,68.9,,18.71,762.21,910.75,119.49,,343.65
IDSW,1995-07-15,58.91,25.08,42.58,57.7,,18.91,763.0,914.04,119.8,,342.58
IDSW,1995-07-16,56.37,24.98,44.32,57.6,,19.17,762.25,915.17,120.06,,342.46
IDSW,1995-07-17,52.29,25.01,47.83,52.8,,19.46,759.5,910.88,119.93,,342.09
IDSW,1995-07-18,57.19,25.05,43.81,56.1,,19.79,756.46,907.08,119.91,,342.57
IDSW,1995-07-19,53.38,25.09,47.0,52.9,,20.37,756.25,908.83,120.18,,342.32
IDSW,1995-07-20,50.32,24.94,49.56,51.9,,20.61,756.75,904.33,119.5,,341.97
IDSW,1995-07-21,51.06,24.63,48.23,49.3,,20.97,756.42,905.21,119.67,,342.25
IDSW,1995-07-22,47.98,24.63,51.33,48.1,,21.26,757.42,908.25,119.91,,342.1
IDSW,1995-07-23,47.39,24.64,52.0,47.1,,21.25,757.33,911.92,120.41,,342.08
IDSW,1995-07-24,45.03,24.77,55.01,46.2,,21.38,758.63,913.25,120.38,,341.65
IDSW,1995-07-25,52.02,24.78,47.63,50.6,,21.48,755.71,904.13,119.64,,342.22
IDSW,1995-07-26,51.41,25.48,49.56,52.8,,21.26,755.21,898.58,118.99,,341.97
IDSW,1995-07-27,52.83,25.45,48.18,51.9,,21.43,758.71,906.21,119.44,,342.23
IDSW,1995-07-28,49.94,24.21,48.47,49.2,,21.58,756.21,905.08,119.69,,342.14
IDSW,1995-07-29,51.68,24.82,48.03,52.3,,21.36,759.67,904.5,119.07,,342.24
IDSW,1995-07-30,47.4,24.53,51.74,46.8,,21.57,765.42,917.04,119.81,,341.83
IDSW,1995-07-31,47.71,24.5,51.34,48.1,,21.55,761.08,913.88,120.08,,341.64
IDSW,1995-08-01,44.9,25.18,56.07,47.5,,21.48,756.21,911.5,120.54,,341.62
IDSW,1995-08-02,50.39,25.15,49.9,48.7,,21.45,758.13,906.08,119.52,,342.0
IDSW,1995-08-03,44.63,24.98,55.97,44.3,,21.65,758.04,910.46,120.11,,341.42
IDSW,1995-08-04,45.88,25.05,54.59,46.3,,21.63,757.38,912.21,120.44,,341.49
IDSW,1995-08-05,45.53,25.1,55.13,46.1,,21.51,752.63,909.67,120.87,,341.41
IDSW,1995-08-06,41.98,25.04,59.64,40.7,,21.55,750.67,908.54,121.03,,341.02
IDSW,1995-08-07,46.57,24.79,53.23,46.8,,21.54,754.5,898.08,119.04,,341.21
IDSW,1995-08-08,43.08,23.42,54.35,44.1,,21.19,760.83,891.79,117.21,,340.97
IDSW,1995-08-09,41.5,22.7,54.7,41.5,,20.93,754.25,891.54,118.2,,341.28
IDSW,1995-08-10,43.03,22.74,52.85,42.9,,20.68,749.5,881.88,117.66,,340.95
IDSW,1995-08-11,34.57,22.7,65.68,34.4,,20.71,755.5,893.08,118.21,,340.16
IDSW,1995-08-12,35.89,23.0,64.09,35.7,,20.61,758.33,890.0,117.36,,340.48
IDSW,1995-08-13,34.08,23.0,67.48,33.6,,20.57,760.13,895.75,117.84,,340.44
IDSW,1995-08-14,32.91,23.0,69.89,34.2,,20.38,754.21,890.79,118.11,,340.21
IDSW,1995-08-15,34.95,22.98,65.75,34.9,,20.26,752.25,887.08,117.92,,340.52
IDSW,1995-08-16,35.15,22.9,65.17,35.4,,20.25,752.83,889.38,118.14,,340.53
IDSW,1995-08-17,34.64,23.18,66.91,34.4,,20.1,756.54,887.71,117.34,,340.6
IDSW,1995-08-18,38.53,23.97,62.21,38.6,,20.03,761.96,908.79,119.27,,340.89
IDSW,1995-08-19,38.98,24.0,61.56,37.9,,19.95,760.96,909.21,119.48,,340.84
IDSW,1995-08-20,35.61,23.95,67.25,36.9,,19.9,756.71,907.17,119.88,,340.45
IDSW,1995-08-21,34.77,23.98,68.98,33.8,,20.05,757.63,905.79,119.56,,340.32
IDSW,1995-08-22,33.7,23.92,70.97,35.3,,20.14,759.0,913.87,120.43,,340.38
IDSW,1995-08-23,35.53,23.96,67.44,34.0,,20.2,755.08,915.25,121.21,,340.74
IDSW,1995-08-24,34.84,23.64,67.84,36.3,,20.18,759.38,915.58,120.57,,340.83
IDSW,1995-08-25,35.1,22.98,65.46,34.6,,20.23,756.92,895.38,118.29,,340.89
IDSW,1995-08-26,35.9,23.0,64.07,36.1,,20.03,756.75,890.71,117.7,,340.37
IDSW,1995-08-27,34.8,23.03,66.18,34.2,,19.93,757.25,896.33,118.37,,339.96
IDSW,1995-08-28,33.51,23.01,68.68,32.7,,19.82,755.5,891.63,118.02,,339.46
IDSW,1995-08-29,33.09,23.02,69.58,34.3,,19.58,759.42,892.46,117.52,,339.54
IDSW,1995-08-30,34.84,23.04,66.12,35.0,,19.63,759.29,894.92,117.86,,339.65
IDSW,1995-08-31,35.07,23.01,65.61,33.8,,19.57,757.5,892.96,117.88,,339.66
IDSW,1995-09-01,31.87,0.84,2.63,34.1,,19.4,756.0,789.5,104.43,,339.81
IDSW,1995-09-02,28.9,0.0,0.0,30.9,,19.43,754.79,770.88,102.13,,340.31
IDSW,1995-09-03,27.17,0.0,0.0,27.9,,19.13,754.54,773.5,102.51,,340.4
IDSW,1995-09-04,22.96,0.0,0.0,25.0,,17.52,756.63,774.75,102.4,,339.72
IDSW,1995-09-05,22.13,0.0,0.0,22.2,,17.13,762.33,786.0,103.1,,339.49
IDSW,1995-09-06,22.42,0.0,0.0,24.0,,17.84,762.38,786.13,103.12,,339.37
IDSW,1995-09-07,25.89,0.0,0.0,26.2,,19.3,760.21,778.71,102.43,,339.78
IDSW,1995-09-08,28.07,0.0,0.0,27.1,,19.51,760.38,778.83,102.43,,340.1
IDSW,1995-09-09,24.4,0.0,0.0,23.2,,19.37,757.79,781.38,103.11,,339.73
IDSW,1995-09-10,25.13,0.0,0.0,27.3,,19.41,757.71,781.79,103.18,,340.0
IDSW,1995-09-11,24.75,0.0,0.0,23.0,,19.39,760.13,782.21,102.9,,340.08
IDSW,1995-09-12,24.0,0.0,0.0,24.7,,19.42,760.83,784.17,103.07,,340.01
IDSW,1995-09-13,26.33,0.0,0.0,26.5,,19.44,760.71,781.21,102.69,,340.06
IDSW,1995-09-14,28.37,0.0,0.0,28.5,,19.5,757.29,779.08,102.88,,340.13
IDSW,1995-09-15,26.47,0.0,0.0,26.1,,19.5,754.33,786.08,104.21,,340.1
IDSW,1995-09-16,25.63,0.0,0.0,27.0,,19.57,754.88,785.54,104.06,,339.86
IDSW,1995-09-17,23.19,0.0,0.0,22.2,,19.52,757.88,783.17,103.34,,339.82
IDSW,1995-09-18,24.94,0.0,0.0,24.9,,19.51,759.38,783.92,103.23,,340.14
IDSW,1995-09-19,26.23,0.0,0.0,26.2,,19.69,761.17,779.79,102.45,,340.15
IDSW,1995-09-20,29.87,0.0,0.0,29.7,,19.8,765.38,785.63,102.65,,340.25
IDSW,1995-09-21,35.99,0.0,0.0,28.5,,19.62,765.96,775.92,101.3,,340.58
IDSW,1995-09-22,25.51,0.0,0.0,28.2,,19.42,758.75,777.58,102.48,,339.53
IDSW,1995-09-23,23.17,0.0,0.0,23.5,,19.28,758.0,772.83,101.96,,339.75
IDSW,1995-09-24,24.15,0.0,0.0,28.1,,19.05,756.75,774.38,102.33,,339.77
IDSW,1995-09-25,26.94,0.0,0.0,27.2,,18.91,754.17,768.54,101.91,,339.75
IDSW,1995-09-26,28.03,0.0,0.0,27.2,,18.88,753.56,776.75,103.08,,339.93
IDSW,1995-09-27,26.04,0.0,0.0,26.8,,,,,,,340.02
IDSW,1995-09-28,25.87,0.0,0.0,26.6,,,,,,,340.1
IDSW,1995-09-29,26.63,0.0,0.0,25.4,,,,,,,340.17
IDSW,1995-09-30,30.53,0.0,0.0,31.8,,,,,,,340.46
IDSW,1995-10-01,26.04,0.0,0.0,25.4,,,,,,,339.91
IDSW,1995-10-02,27.21,0.0,0.0,28.3,,,,,,,340.01
IDSW,1995-10-03,26.83,0.0,0.0,26.2,,,,,,,340.58
IDSW,1995-10-04,28.43,0.0,0.0,28.1,,,,,,,340.63
IDSW,1995-10-05,33.84,0.0,0.0,34.4,,,,,,,340.8
IDSW,1995-10-06,29.13,0.0,0.0,28.9,,,,,,,340.28
IDSW,1995-10-07,27.78,0.0,0.0,27.1,,,,,,,340.3
IDSW,1995-10-08,27.38,0.0,0.0,27.9,,,,,,,340.29
IDSW,1995-10-09,22.05,0.0,0.0,22.6,,,,,,,339.67
IDSW,1995-10-10,29.12,0.0,0.0,27.6,,,,,,,340.22
IDSW,1995-10-11,28.98,0.0,0.0,30.8,,,,,,,340.19
IDSW,1995-10-12,22.0,0.0,0.0,21.8,,,,,,,339.59
IDSW,1995-10-13,28.48,0.0,0.0,27.1,,,,,,,340.52
IDSW,1995-10-14,32.04,0.0,0.0,33.3,,,,,,,340.68
IDSW,1995-10-15,27.26,0.0,0.0,26.3,,,,,,,340.22
IDSW,1995-10-16,26.48,0.0,0.0,27.9,,,,,,,340.05
IDSW,1995-10-17,31.15,0.0,0.0,29.7,,,,,,,340.45
IDSW,1995-10-18,33.85,0.0,0.0,34.3,,,,,,,340.98
IDSW,1995-10-19,33.64,0.0,0.0,33.8,,,,,,,340.87
IDSW,1995-10-20,37.1,0.0,0.0,36.8,,,,,,,340.88
IDSW,1995-10-21,30.65,0.0,0.0,30.1,,,,,,,340.33
IDSW,1995-10-22,32.3,0.0,0.0,32.8,,,,,,,340.52
IDSW,1995-10-23,30.51,0.0,0.0,28.6,,,,,,,340.19
IDSW,1995-10-24,29.24,0.0,0.0,30.3,,,,,,,340.16
IDSW,1995-10-25,33.11,0.0,0.0,32.4,,,,,,,340.58
IDSW,1995-10-26,30.03,0.0,0.0,31.2,,,,,,,340.41
IDSW,1995-10-27,31.95,0.0,0.0,32.5,,,,,,,340.53
IDSW,1995-10-28,32.11,0.0,0.0,30.8,,,,,,,340.39
IDSW,1995-10-29,27.4,0.0,0.0,27.2,,,,,,,340.03
IDSW,1995-10-30,21.6,0.0,0.0,22.5,,,,,,,339.72
IDSW,1995-10-31,24.69,0.0,0.0,24.5,,,,,,,339.98
IDSW,1995-11-01,23.97,0.0,0.0,26.2,,,,,,,339.82
IDSW,1995-11-02,26.25,0.0,0.0,25.0,,,,,,,339.79
IDSW,1995-11-03,28.02,0.0,0.0,28.6,,,,,,,340.22
IDSW,1995-11-04,24.99,0.0,0.0,25.0,,,,,,,340.26
IDSW,1995-11-05,23.93,0.0,0.0,23.9,,,,,,,340.66
